song_name;artist(s)_name;streams;released_year;contract
Callaita;Bad Bunny, Tainy;1304313953;2019;Unknown
Dua Lipa;Jack Harlow;150500965;2022;Unknown
Agosto;Bad Bunny;246127838;2022;Rimas Entertainment
House Of Memories;Panic! At The Disco;582863434;2016;Unknown
Mr. Morale;Kendrick Lamar, Tanna Leone;58687425;2022;Unknown
That That (prod. & feat. SUGA of BTS);PSY, Suga;212109195;2022;Unknown
In The Stars;Benson Boone;382199619;2022;Unknown
Rich - Interlude;Kendrick Lamar;41210087;2022;Unknown
SUPERMODEL;Mï¿½ï¿½ne;231657891;2022;Unknown
Stefania (Kalush Orchestra);KALUSH;53729194;2022;Unknown
Thousand Miles;The Kid Laroi;244741137;2022;Unknown
Crown;Kendrick Lamar;42485571;2022;Unknown
Auntie Diaries;Kendrick Lamar;37778188;2022;Unknown
PUFFIN ON ZOOTIEZ;Future;254218729;2022;Unknown
Mirror;Kendrick Lamar;53603447;2022;Unknown
Beautiful Girl;Luciano;160035717;2022;Unknown
Paulo Londra: Bzrp Music Sessions, Vol. 23;Bizarrap, Paulo Londra;164163229;2022;Unknown
Savior - Interlude;Kendrick Lamar;37091576;2022;Unknown
Pasoori;Shae Gill, Ali Sethi;284249832;2022;Unknown
Mother I Sober (feat. Beth Gibbons of Portishead);Kendrick Lamar, Beth Gibbons;33381454;2022;Unknown
TUS Lï¿½ï¿½GR;Sech, Mora;184622518;2022;Unknown
Where Did You Go?;MNEK, Jax Jones;300983101;2022;Unknown
I Tried to Tell Y'all;Ugly Dray, Tesla Jnr;121077868;2022;Unknown
Honest (feat. Don Toliver);Justin Bieber, Don Toliver;106919680;2022;Unknown
ZOOM;Jessi;136996305;2022;Unknown
SloMo;Chanel;65719930;2021;Unknown
FEARLESS;LE SSERAFIM;229497852;2022;Unknown
10 Things I Hate About You;Leah Kate;185550869;2022;Unknown
SPACE MAN;Sam Ryder;54682594;2022;Unknown
With you;HA SUNG WOON, Jimin;240580042;2022;Unknown
Iris;The Goo Goo Dolls;1284942608;1998;Unknown
The Heart Part 5;Kendrick Lamar;71423324;2022;Unknown
San Lucas;Kevin Kaarl;244891912;2019;Unknown
This Love (Taylorï¿½ï¿½ï¿½s Ve;Taylor Swift;132171975;2022;Universal Music Group
Good Looking;Suki Waterhouse;184706613;2017;Unknown
Flowers;Lauren Spencer Smith;184826429;2021;Unknown
Yet To Come;BTS;302006641;2022;Unknown
Run BTS;BTS;330881149;2022;Unknown
Music For a Sushi Restaurant;Harry Styles;334733572;2022;Columbia Records
Matilda;Harry Styles;366214458;2022;Columbia Records
For Youth;BTS;114546317;2022;Unknown
Daylight;Harry Styles;290833204;2022;Columbia Records
Vegas (From the Original Motion Picture Soundtrack ELVIS);Doja Cat;448500832;2022;Unknown
Cash In Cash Out;Pharrell Williams, Tyler, The Creator, 21 Savage;136676504;2022;Unknown
Potion (with Dua Lipa & Young Thug);Calvin Harris, Dua Lipa, Young Thug;190625045;2022;Unknown
Born Singer;BTS;79095270;2022;Unknown
Little Freak;Harry Styles;273194684;2022;Columbia Records
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F;Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone;333146475;2022;Unknown
True Love;Kanye West, XXXTENTACION;194902696;2022;Unknown
Satellite;Harry Styles;311482393;2022;Columbia Records
Pass The Dutchie;Musical Youth;195918494;1982;Unknown
Villano Antillano: Bzrp Music Sessions, Vol. 51;Bizarrap, Villano Antillano;248511839;2022;Unknown
Love Of My Life;Harry Styles;233671263;2022;Columbia Records
Grapejuice;Harry Styles;199587884;2022;Columbia Records
So Good;Halsey;91781263;2022;Unknown
Belly Dancer;BYOR, Imanbek;383835984;2022;Unknown
Keep Driving;Harry Styles;236060709;2022;Columbia Records
Cinema;Harry Styles;189236868;2022;Columbia Records
Die Young (feat. 347aidan);Sleepy hallow, 347aidan;160845341;2022;Unknown
Only Love Can Hurt Like This;Paloma Faith;588955257;2014;Unknown
Hold My Hand;Lady Gaga;238350348;2022;Unknown
Daydreaming;Harry Styles;187703102;2022;Columbia Records
Numb;Marshmello, Khalid;295307001;2022;Unknown
Nos Comemos (feat. Ozuna);Ozuna, Tiago pzk;138334433;2022;Unknown
Me and Your Mama;Childish Gambino;445590495;2016;Unknown
Crazy What Love Can Do;David Guetta, Ella Henderson, Becky Hill;286739476;2022;Unknown
SLOW DANCING IN THE DARK;Joji;1122364376;2018;Unknown
Antes de Perderte;Duki;157136970;2022;Unknown
Boyfriends;Harry Styles;137070925;2022;Columbia Records
295;Sidhu Moose Wala;183273246;2021;Unknown
Tak Ingin Usai;Keisya Levronka;184807630;2022;Unknown
En El Radio Un Cochinero;Victor Cibrian;164856284;2022;Unknown
Master of Puppets (Remastered);Metallica;704171068;1986;Unknown
BREAK MY SOUL;Beyoncï¿;354614964;2022;Unknown
ULTRA SOLO REMIX;De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita;279717388;2022;Unknown
Massive;Drake;195628667;2022;Unknown
Betty (Get Money);Yung Gravy;221752937;2022;Unknown
Ojos Marrones;Lasso;263280370;2022;Unknown
POP!;Nayeon;213505179;2022;Unknown
Layla;Schï¿½ï¿½rze, DJ R;130419412;2022;Unknown
MORE;j-hope;155795783;2022;Unknown
Sweet Child O' Mine;Guns N' Roses;1553497987;1987;Unknown
Last Last;Burna Boy;293466523;2022;Unknown
SNAP;Rosa Linn;711366595;2022;Unknown
Sticky;Drake;191448892;2022;Unknown
Hot Shit (feat. Ye & Lil Durk);Kanye West, Lil Durk, Cardi B;85924992;2022;Unknown
Ai Preto;L7nnon, DJ Biel do Furduncinho, Bianca;176103902;2022;Unknown
La Loto;Anitta, Tini, Becky G;121189256;2022;Unknown
die first;Nessa Barrett;131746175;2022;Unknown
Afraid To Feel;LF System;244790012;2022;Unknown
Baile no Morro;Mc Vitin Da Igrejinha, MC Tairon, DJ Win;129314708;2022;Unknown
cï¿½ï¿½mo dormi;Rels B;331511413;2022;Unknown
Bad Decisions (with BTS & Snoop Dogg);Snoop Dogg, BTS, Benny Blanco;219196651;2022;Unknown
STAYING ALIVE (feat. Drake & Lil Baby);Drake, DJ Khaled, Lil Baby;170732845;2022;Unknown
Caile;Luar La L;273914335;2020;Unknown
Si Te La Encuentras Por Ahï¿;Feid;179061440;2022;Unknown
GIVENCHY;Duki;185236961;2022;Unknown
ALIEN SUPERSTAR;Beyoncï¿;171788484;2022;Unknown
Mary On A Cross;Ghost;387080183;2019;Unknown
Attention;NewJeans;264717480;2022;Unknown
THE SHADE;Rex Orange County;244928911;2022;Unknown
"Come Back Home - From ""Purple Hearts""";Sofia Carson;97610446;2022;Unknown
El Rescate;Grupo Marca Registrada, Junior H;287278853;2022;Unknown
Heartless;Kanye West;887906111;2008;Unknown
Stay With Me (with Justin Timberlake, Halsey, & Pharrell);Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake;123473120;2022;Unknown
Siempre Pendientes;Peso Pluma, Luis R Conriquez;295152154;2022;Unknown
JGL;Luis R Conriquez, La Adictiva;323455692;2022;Unknown
Don't You Worry;David Guetta, Shakira, Black Eyed Peas;240918092;2022;Unknown
Pipoco;Melody, Ana Castela, Dj Chris No Beat;191873381;2022;Unknown
Hold Me Closer;Elton John, Britney Spears;284216603;2017;Unknown
Forget Me;Lewis Capaldi;239411309;2022;Vertigo Berlin
After LIKE;IVE;265548837;2022;Unknown
Bound 2;Kanye West;703301727;2013;Unknown
B.O.T.A. (Baddest Of Them All) - Edit;Interplanetary Criminal, Eliza Rose;244585109;2022;Unknown
Talk that Talk;TWICE;189476119;2022;Unknown
BILLIE EILISH.;Armani White;277132266;2022;Unknown
Ferxxo 100;Feid;278920007;2022;Unknown
KU LO SA - A COLORS SHOW;Oxlade;222410722;2022;Unknown
Prohibidox;Feid;185392587;2022;Unknown
Static;Steve Lacy;202452860;2022;Unknown
The Scientist;Coldplay;1608164312;2002;Unknown
Sparks;Coldplay;624101957;2000;Unknown
Talk;YEAT;148461629;2022;Unknown
XQ Te Pones Asï¿;Yandel, Feid;47093942;2022;Unknown
Selfish;PnB Rock;380319238;2016;Unknown
Sin Seï¿½ï;Ovy On The Drums, Quevedo;209106362;2022;Unknown
Lady Mi Amor;Feid;53987404;2022;Unknown
Poland;Lil Yachty;115331792;2022;Unknown
THE LONELIEST;Mï¿½ï¿½ne;225093344;2022;Unknown
Bye Bye;Marshmello, Juice WRLD;84697729;2022;Unknown
BABY OTAKU;Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla;159240673;2022;Unknown
Nxde;(G)I-DLE;170709584;2022;Unknown
Miss You;Southstar;154356956;1982;Unknown
we fell in love in october;girl in red;723043854;2018;Unknown
2 Be Loved (Am I Ready);Lizzo;247689123;2022;Unknown
Celestial;Ed Sheeran;176474912;2022;Atlantic Records
Typa Girl;BLACKPINK;235549288;2022;Unknown
I Really Want to Stay at Your House;Rosa Walton, Hallie Coggins;140430339;2020;Unknown
California Breeze;Lil Baby;85559365;2022;Unknown
Bamba (feat. Aitch & BIA);Luciano, Aitch, Bï¿½;146223492;2022;Unknown
Casei Com a Putaria;MC Ryan SP, Love Funk, Mc Paiva ZS;187701588;2022;Unknown
Major Distribution;Drake, 21 Savage;154863153;2022;Unknown
Pussy & Millions (feat. Travis Scott);Drake, Travis Scott, 21 Savage;191333656;2022;Unknown
Vigilante Shit;Taylor Swift;253650850;2022;Universal Music Group
Question...?;Taylor Swift;223064273;2022;Universal Music Group
On BS;Drake, 21 Savage;170413877;2022;Unknown
Mastermind;Taylor Swift;218320587;2022;Universal Music Group
Circo Loco;Drake, 21 Savage;141720999;2022;Unknown
Labyrinth;Taylor Swift;187339835;2022;Universal Music Group
Spin Bout U;Drake, 21 Savage;198365537;2022;Unknown
Sweet Nothing;Taylor Swift;186104310;2022;Universal Music Group
Would've, Could've, Should've;Taylor Swift;177503916;2022;Universal Music Group
Con La Brisa;Ludwig Goransson, Foudeqush;71095708;2022;Unknown
Privileged Rappers;Drake, 21 Savage;112436403;2022;Unknown
The Astronaut;Jin;203436468;2022;Unknown
BackOutsideBoyz;Drake;93367537;2022;Unknown
Broke Boys;Drake, 21 Savage;106249219;2022;Unknown
The Great War;Taylor Swift;181382590;2022;Universal Music Group
My Mind & Me;Selena Gomez;91473363;2022;Unknown
Bigger Than The Whole Sky;Taylor Swift;121871870;2022;Universal Music Group
A Veces (feat. Feid);Feid, Paulo Londra;73513683;2022;Unknown
En La De Ella;Feid, Sech, Jhayco;133895612;2022;Unknown
Alone;Burna Boy;96007391;2022;Unknown
