song_name;artist(s)_name;streams;released_year;contract
Nonsense;Sabrina Carpenter;342897938;2022;Unknown
Que Vuelvas;Carin Leon, Grupo Frontera;2762;2022;Unknown
Por las Noches;Peso Pluma;330346424;2021;Unknown
Feliz Cumpleaï¿½ï¿½os Fe;Feid;601863821;2022;Unknown
Can't Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;1953533826;2011;Unknown
Watermelon Sugar;Harry Styles;2322580122;2019;Columbia Records
lovely - Bonus Track;Billie Eilish, Khalid;2355719893;2017;Universal Music Group
Rauw Alejandro: Bzrp Music Sessions, Vol. 56;Rauw Alejandro, Bizarrap;66902503;2023;Unknown
Queencard;(G)I-DLE;96273746;2023;Unknown
OMG;NewJeans;430977451;2023;Unknown
Radio;Lana Del Rey;284819874;2011;Unknown
Shakira: Bzrp Music Sessions, Vol. 53;Shakira, Bizarrap;721975598;2023;Unknown
505;Arctic Monkeys;1217120710;2007;Domino Recording Company
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie);Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV;109276132;2023;Unknown
Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;276259178;2022;Unknown
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")";Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain;54225632;2023;Unknown
Perfect;Ed Sheeran;2559529074;2017;Atlantic Records
Romantic Homicide;d4vd;681583126;2022;Unknown
Believer;Imagine Dragons;2594040133;2017;Interscope Records
Novo Balanï¿½;Veigh, Bvga Beatz, Supernova Ent, Prod Malax;81102253;2023;Unknown
Gol Bolinha, Gol Quadrado 2;Mc Pedrinho, DJ 900;11956641;2023;Unknown
Without Me;Eminem;1687664027;2002;Unknown
QUEMA;Sog, Ryan Castro, Peso Pluma;11599388;2023;Unknown
Stargirl Interlude;The Weeknd, Lana Del Rey;611700552;2016;Unknown
Ojitos Lindos;Bomba Estï¿½ï¿½reo, Bad B;1133865788;2022;Unknown
Somewhere Only We Know;Keane;1089402494;2004;Unknown
Those Eyes;New West;411747614;2019;Unknown
El Gordo Trae El Mando;Chino Pacas;255932395;2023;Unknown
Mi Bello Angel;Natanael Cano;31873544;2023;Unknown
Bye;Peso Pluma;95053634;2023;Unknown
Danza Kuduro;Don Omar, Lucenzo;1279434863;2010;Unknown
Nosso Quadro;Ana Castela, AgroPlay;233801632;2023;Unknown
Locked Out Of Heaven;Bruno Mars;1481349984;2012;Unknown
Un Finde | CROSSOVER #2;Big One, FMK, Ke personajes;142095275;2023;Unknown
Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;618885532;2022;Unknown
Counting Stars;OneRepublic;2011464183;2013;Unknown
Ghost;Justin Bieber;1167330737;2021;Def Jam Recordings
Under The Influence;Chris Brown;929964809;2019;Unknown
PRC;Natanael Cano, Peso Pluma;436027885;2023;Unknown
Gasolina;Daddy Yankee;657723613;2004;Unknown
One Dance;Drake, WizKid, Kyla;2713922350;2016;Universal Music Group
Enchanted;Taylor Swift;621660989;2010;Universal Music Group
Save Your Tears;The Weeknd;1591223784;2020;Republic Records
Sure Thing;Miguel;950906471;2010;Unknown
Every Breath You Take - Remastered 2003;The Police;1593270737;1983;Unknown
The Night We Met;Lord Huron;1410088830;2015;Unknown
We Found Love;Rihanna, Calvin Harris;1235005533;2011;Unknown
When I Was Your Man;Bruno Mars;1661187319;2012;Unknown
Let Me Down Slowly;Alec Benjamin;1374581173;2018;Unknown
